"Latitude" "Longitude" "Crop" "SoilSampleID" "Se" "Zn" "Bio1" "Bio12" "EVI" "MB1" "MB2" "MB3" "MB7" "Slope" "TIM" "ph" "org"
9.298608149 38.19230848 "Teff" "GeoN-ETH18-Soil-2500" 0.0111 30.92595034 154 1092 3207 890 2764 437 1257 4.214848995 8.39453125 5.08 2.182
9.350858209 38.35874166 "Teff" "GeoN-ETH18-Soil-2508" 0.018053133 33.85767078 147 1290 3330 900 2800 500 1415 1.820376635 8.389701843 5.09 4.896
9.354228462 38.98769256 "Teff" "GeoN-ETH18-Soil-1784" 0.071971972 25.31936332 145 948 3357 943 2876 511 1476 4.329266071 7.896515846 6.34 1.966
9.36873903 39.00250727 "Teff" "GeoN-ETH18-Soil-1785" 0.019213228 30.79491556 146 945 2786 947 2531 506 1482 2.599168539 9.153178215 5.37 3.261
9.384573461 37.41218706 "Teff" "GeoN-ETH18-Soil-2317" 0.0497 30.80664086 166 1599 2854 871 2502 451 1384 3.059498549 8.725398064 5.21 2.527
9.399902056 39.15479697 "Teff" "GeoN-ETH18-Soil-1791" 0.0372 30.86138304 146 978 2808 1044 2677 553 1733 1.824417472 8.197932243 5.88 1.719
9.40071044 38.82349238 "Teff" "GeoN-ETH18-Soil-1810" 0.0737 33.95202453 149 1176 2653 1084 2655 539 1492 1.140798688 7.991915703 6.08 1.72
9.40939655 38.33234862 "Teff" "GeoN-ETH18-Soil-2504" 0.0356 28.02862489 149 1551 2968 847 2510 486 1376 1.286779642 8.303194046 5.38 2.793
9.417409943 38.50613088 "Teff" "GeoN-ETH18-Soil-2513" 0.0774 31.86599291 148 1329 2640 980 2492 522 1333 4.854530811 6.421494484 5.96 2.011
9.429228411 37.42137851 "Teff" "GeoN-ETH18-Soil-2318" 0.0396 34.56730104 167 1548 2568 901 2367 458 1402 1.719394088 10.14421368 5.42 2.366
9.448823859 37.11066316 "Teff" "GeoN-ETH18-Soil-2304" 0.0705 34.70040381 161 1510 3204 769 2492 481 1313 7.381481171 10.51875114 5.98 3.282
9.47626421 38.59819036 "Teff" "GeoN-ETH18-Soil-1813" 0.124110493 20.21549061 208 671 1837 1121 2175 598 1765 3.973722935 10.34754467 8.1 0.6356
9.481027088 38.23576963 "Teff" "GeoN-ETH18-Soil-2502" 0.0377 30.47250641 150 1737 3136 898 2651 513.5 1368 3.3657084705 9.3826680185 5.455 2.599
9.482802065 38.23616403 "Teff" "GeoN-ETH18-Soil-2503" 0.0477 28.28886206 150 1737 2895 892 2487 514 1375 2.696822405 9.625659943 5.51 2.561
9.518780575 38.22779135 "Teff" "GeoN-ETH18-Soil-2506" 0.0405 32.61219506 152 1730 2796 1076 2737 547 1622 2.97081089 9.624614716 5.46 1.901
9.524218886 37.15000151 "Teff" "GeoN-ETH18-Soil-2305" 0.012770772 33.85454981 166 1480 3053 840 2620 404 1259 6.117628574 8.022408485 5.06 2.438
9.527465016 37.48184449 "Teff" "GeoN-ETH18-Soil-2320" 0.0233 27.99414742 164 1802 2379 901 2247 465 1454 1.366527081 8.201215744 5.32 2.258
9.560883188 38.9139224 "Teff" "GeoN-ETH18-Soil-1815" 0.0703 26.39844586 146 1296 2535 1021 2480 541 1824 0.24309656 10.29755402 5.59 2.121
9.567893165 37.52183168 "Teff" "GeoN-ETH18-Soil-2322" 0.032 30.166680235 165 1898 2850 969 2634.5 487.5 1418 1.064628869 8.0246813295 5.26 2.645
9.568860426 37.52176374 "Teff" "GeoN-ETH18-Soil-2321" 0.0292 29.23588092 165 1898 2822 964 2613 479 1403 1.384413838 7.897544384 5.32 2.624
9.58486202 38.66837206 "Teff" "GeoN-ETH18-Soil-1022" 0.124904535 26.14864006 164 1124 3636 729 2785 408 1150 24.23709297 8.045455933 7.36 3.0437
9.599957969 37.20340633 "Teff" "GeoN-ETH18-Soil-2308" 0.0257 30.6299712 165 1625 3272 798 2677 421 1395 7.973197937 9.065639496 4.87 3.306
9.601577595 38.26699084 "Teff" "GeoN-ETH18-Soil-2507" 0.0821 24.8624959 155 1764 2631 1069 2609 553 1423 1.056413293 8.297897339 5.16 2.077
9.6028356 39.20792171 "Teff" "GeoN-ETH18-Soil-1787" 0.213237951 20.41708826 147 1158 2804 1011 2647 521 1716 2.12835145 9.657857895 5.87 2.687
9.611472174 37.3311367 "Teff" "GeoN-ETH18-Soil-2311" 0.050495693 24.57230085 165 1861 2939 812 2459 452 1414 4.453317165 7.816240311 4.85 3.155
9.643244363 38.85040227 "Teff" "GeoN-ETH18-Soil-1019" 0.4922010295 28.22651056 151 1087 2143 861 2053 460 1392 1.43160212 9.310470581 7.09 1.5197
9.643543426 38.85081976 "Teff" "GeoN-ETH18-Soil-1017" 0.312577873 30.2823246 151 1087 2143 861 2053 460 1392 1.43160212 9.310470581 6.47 1.622
9.660298375 39.00632511 "Teff" "GeoN-ETH18-Soil-1000" 0.152026704 32.27457726 152 1083 2629 974 2474 511 1658 2.601673603 9.827549934 5.79 3.272
